id,Item,Parent,Description,WBS,Team,Manager,Product Owner,Service/SW/HW,Package List,LDM-230,LDM-148,LDM-129
LSPWEB,LSP Web APIs,LSP,LSST Science Platform Web APIs Aspect,Multiple,DAX,Fritz Mueller,Gregory Dubois-Felsmann,SW,,,,
DAXWEB,Web Framework,LSPWEB,Web services framework,1.02C.06.02.02,DAX,Fritz Mueller,Gregory Dubois-Felsmann,SW,dax_webserv/dax_webservcommon,,,
DAXIMG,Image Access,LSPWEB,Image access,1.02C.06.02.04,DAX,Fritz Mueller,Gregory Dubois-Felsmann,SW,dax_imgserv,,,
DAXCAT,Catalog Access,LSPWEB,Catalog access,1.02C.06.02.05,DAX,Fritz Mueller,Gregory Dubois-Felsmann,SW,dax_dbserv,,,
DAXIMETA,Img Metadata Acc,LSPWEB,Image metadata access,1.02C.06.02.05,DAX,Fritz Mueller,Gregory Dubois-Felsmann,SW,dax_metaserv,,,
DAXCMETA,Cat Metadata Acc,LSPWEB,Catalog metadata access,1.02C.06.02.05,DAX,Fritz Mueller,Gregory Dubois-Felsmann,SW,dax_metaserv,,,
LSPJL,LSP JupyterLab,LSP,LSST Science Platform JupyterLab Aspect,Multiple,SQuaRE,Frossie Economou,Simon Krughoff,SW,,,,
JLENV,JupyterLab Env,LSPJL,Basic JupyterLab environment,1.02C.10.02.02.01,SQuaRE,Frossie Economou,Simon Krughoff,SW,,,,
JLSW,JupyterLab SW Env,LSPJL,JupyterLab software environments,1.02C.10.02.02.04,SQuaRE,Frossie Economou,Simon Krughoff,SW,,,,
JLACTIV,JupyterLab Activator,LSPJL,JupyterLab Activators,1.02C.10.02.02.05,SQuaRE,Frossie Economou,Simon Krughoff,SW,,,,
JLDPLY,JupyterLab Deploy,LSPJL,JupterHub deployment,1.02C.10.02.02.06,SQuaRE,Frossie Economou,Simon Krughoff,SW,,,,
JLSUIT,JupyterLab SUIT Intf,LSPJL,JupyterLab visualization widgets and other JupterHub/Portal bridges ,1.02C.05.07,SUIT,Xiuqin Wu,Gregory Dubois-Felsmann,SW,,,,
SQUASH,QC Dashboard,DMSYS,QC measurement collection/storage/dashboard service,Multiple,SQuaRE,Frossie Economou,Simon Krughoff,SW,,,,
SQHARN,QC Harness,SQUASH,QC harness,1.02C.10.02.01.01,SQuaRE,Frossie Economou,Simon Krughoff,SW,validate_base,,,
SQNOTIF,QC Notifications,SQUASH,QC threshold notification framework,1.02C.10.02.01.02,SQuaRE,Frossie Economou,Simon Krughoff,SW,,,,
SQREPORT,QC Reports,SQUASH,QC verification reporting,1.02C.10.02.01.03,SQuaRE,Frossie Economou,Simon Krughoff,SW,,,,
SQALERT,Alert QC,SQUASH,Alert stream QC harness,1.02C.10.02.01.04,SQuaRE,Frossie Economou,Simon Krughoff,SW,,,,
DEVEL,Developer Systems,DMSYS,Developer systems and tools,Multiple,SQuaRE,Frossie Economou,,SW,,,,
DVCS,SW Version Control,DEVEL,Software version control system,1.02C.10.02.03.01,SQuaRE,Frossie Economou,,SW,,,,
BUILD,Build/Unit Test,DEVEL,Build and unit test system,1.02C.10.02.03.01,SQuaRE,Frossie Economou,,SW,sconsUtils/base/lsstsw/lsst_build,,,
PKG,Packaging/Distrib,DEVEL,Packaging and distribution,1.02C.10.02.03.02,SQuaRE,Frossie Economou,,SW,lsst/shebangtron/lsst_dm_stack_demo,,,
DOCS,Doc Infrastructure,DEVEL,Documentation infrastructure,1.02C.10.02.03.03,SQuaRE,Frossie Economou,,SW,lsst-texmf/templates/lsstDoxygen,,,
COMMS,Devel Comm Tools,DEVEL,Developer communication tools,1.02C.10.02.03.04,SQuaRE,Frossie Economou,,SW,,,,
ISSUE,Issue Tracking,DEVEL,Issue (ticket) tracking system,1.02C.10.02.03.05,SQuaRE,Frossie Economou,,SW,,,,
INTGTEST,Integration Test,DMSYS,Integration and test,Multiple,Multiple,William O Mullane,Leanne Guy,SW,,,,
CI,Contin Integration,INTGTEST,Automated integration and test system,1.02C.10.02.03.01,SQuaRE,Frossie Economou,,SW,jenkins-dm-jobs,,,
PRECURSR,Precursor Data,INTGTEST,Precursor data for development and testing,1.02C.01.01,DMSST,Leanne Guy,,SW,obs_*/validation_data_*/testdata_*/afwdata,,,
ITENV,IT Environments,DM,Computing and Storage Infrastructure,Multiple,NCSA,Margaret Gelman,Michelle Butler,HW,,,,
ITARC,Archive IT,ITENV,Archive IT Environments,Multiple,NCSA,Margaret Gelman,Michelle Butler,HW,,,,
DEVENV,Dev Env,ITARC,Developer environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,"LSST-dev Complex/Dedicated Qserv Development Nodes"
PRINTGR,Prompt Integ Env,ITARC,Level 1 Integration environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,NCSA L1 Complete Test Stand
DRINTGR,DR Integration Env,ITARC,Data Release Integration environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,LSST-dev Complex
DACINTGR,DAC Integ Env,ITARC,DAC Integration environment (PDAC),,NCSA,Margaret Gelman,Michelle Butler,HW,,,,NCSA Prototype Data Access Center
DBBINTGR,DBB Integ Env,ITARC,Data Backbone Integration environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,
CTRENV,Archive Center Env,ITARC,Archive Production Center environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,"NCSA Master Provisioning Enclave/L1 Enclave/NCSA General Production Enclave"
SVENV,Science Valid Env,ITARC,Archive science validation environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,NCSA Master Provisioning Enclave
DBBENV,Archive DBB Env,ITARC,Archive Data Backbone endpoints and storage,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,Data Backbone Enclave
DACENV,Archive DAC Env,ITARC,Archive DAC environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,US Data Access Center
SATENV,Satellite Env,ITARC,Satellite compute environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,CC-IN2P3 Satellite Computing Facility
ITBASE,Base IT,ITENV,Base IT Environments,Multiple,NCSA,Margaret Gelman,Michelle Butler,HW,,,,
BCTRENV,Base Center Env,ITBASE,Base Production Center environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,"Base Master Provisioning Enclave/L1 Enclave"
BDBBENV,Base DBB Env,ITBASE,Base Data Backbone endpoints and storage,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,Data Backbone Enclave
BDACENV,Base DAC Env,ITBASE,Base DAC environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,Chilean Data Access Center
COMMENV,Comm Cluster Env,ITBASE,Commissioning Cluster environment,,NCSA,Margaret Gelman,Michelle Butler,HW,,,,Commissioning Cluster
NETDM,DM Networks,DM,Data Management Provided Networks,Multiple,Network,Jeff Kantor,Jeff Kantor,HW,,,,
NETLHN,Long-Haul Nets,NETDM,Summit - Base/ Base - Archive/ US Networks,1.02C.08.03,Network,Jeff Kantor,Jeff Kantor,HW,,,,North-South Network
NETBASE,Base Network,NETDM,Base Local Area Network ,1.02C.07.08.03 (moving to 1.02C.08),Network,Jeff Kantor,Michelle Butler,HW,,,,
NETARCH,Arc Extl Net,NETDM,Archive External Network,1.02C.07.08.06,Network,Margaret Gelman,D Wheeler,HW,,,,
NETCHILE,Chilean Nat,NETLHN,Summit - Gatehouse La Serena - Gatehouse/ La Serena - Santiago Networks DWDM Equipment,Multiple,Network,Jeff Kantor,Jeff Kantor,HW,,,,
NETLSSCL,La Ser - Santi ,NETCHILE,La Serena - Santiago Network,1.02C.08.03.01.01,Network,Jeff Kantor,Jeff Kantor,HW,,,,
NETLSAG,La Serena - AURA,NETCHILE,La Serena - AURA Gatehouse Network,1.02C.08.03.01.01A,Network,Jeff Kantor,Jeff Kantor,HW,,,,
NETCPAG,Summit - AURA,NETCHILE,Summit - AURA Gatehouse Network,1.02C.08.03.01.03,Network,Jeff Kantor,Jeff Kantor,HW,,,,
NETDWDM,DWDM Equipment,NETCHILE,DWDM Equipment,1.02C.08.03.01.04,Network,Jeff Kantor,Jeff Kantor,HW,,,,
NETINTLUS,Int/US WANs,NETLHN,International WAN/US WAN,Multiple,Network,Jeff Kantor,Jeff Kantor,HW,,,,
NET100G,SCL - MIA 100 Gbps ,NETINTLUS,Santiago - Miami 100 Gbps Ring,1.02C.08.03.02.01,Network,Jeff Kantor,Jeff Kantor,HW,,,,
NETMGT,Network Mgmt,NETINTLUS,Network Management,1.02C.08.03.02.02,Network,Jeff Kantor,Jeff Kantor,HW,,,,
NETSPEC,SCL - BR Spectrum ,NETINTLUS,Santiago - Boca Raton Spectrum,1.02C.08.03.02.03,Network,Jeff Kantor,Jeff Kantor,HW,,,,
NETUSW,US National WAN,NETINTLUS,US National WAN,1.02C.08.03.02.01,Network,Jeff Kantor,Jeff Kantor,HW,,,,
