id,Item,Parent,Description,WBS,Team,Manager,Product Owner,Service/SW/HW,Package List,LDM-230,LDM-148,LDM-129
SCIVALSRV,LSP Sci Valid Service,ANSRV,LSP Science Validation Service,,NCSA,Margaret Gelman,Michelle Butler,Service,,,LSP Science Validation Instance,
DEVSRV,Devel Services,DMSRV,Developer Services,,SQuaRE,Frossie Economou,,Service,,,Developer Services,
DVCSRV,SW Vers Ctrl Service,DEVSRV,Software version control service,,SQuaRE,Frossie Economou,,Service,git/GitHub,,,
CISRV,Build/CI Service,DEVSRV,Build + unit test + continuous integration service,1.02C.10.02.03.01,SQuaRE,Frossie Economou,,Service,Jenkins,,,
PKGSRV,Packaging/Distrib,DEVSRV,Packaging and distribution service,1.02C.10.02.03.02,SQuaRE,Frossie Economou,,Service,lsst/shebangtron/lsst_dm_stack_demo,,,
DOCSRV,Doc Pub Service,DEVSRV,Documentation publication service,1.02C.10.02.03.04,SQuaRE,Frossie Economou,,Service,LTD,,,
COMMSRV,Devel Comm Tools,DEVSRV,Developer communication services,1.02C.10.02.03.04,SQuaRE,Frossie Economou,,Service,Community/Slack,,,
ISSUESRV,Issue Tracking,DEVSRV,Issue (ticket) tracking service,1.02C.10.02.03.05,SQuaRE,Frossie Economou,,Service,Jira,,,
DMSYS,DM SW Systems,DM,Data Management Software Systems,,Multiple,William O Mullane,Leanne Guy,SW,,,,
PR,Prompt System,DMSYS,Prompt System,Multiple,Multiple,William O Mullane,Leanne Guy,SW,,,,
PRCSC,Prompt CSCs,PR,Prompt Commandable SAL Components,Multiple,NCSA,Margaret Gelman,Felipe Menanteau,SW,,,,
ARC,Archiver,PRCSC,Archiving Commandable SAL Component,,NCSA,Margaret Gelman,Felipe Menanteau,SW,ctrl_iip,,,
CARC,Catchup Archiver,PRCSC,Catch-up Archiving Commandable SAL Component,,NCSA,Margaret Gelman,Felipe Menanteau,SW,ctrl_iip,,,
EFDT,EFD Transform,PRCSC,EFD Transformation Commandable SAL Component,,NCSA,Margaret Gelman,Felipe Menanteau,SW,,,,
PRMPT,Prompt Proc,PRCSC,Prompt Processing Commandable SAL Component,,NCSA,Margaret Gelman,Felipe Menanteau,SW,ctrl_iip,,,
OCSBAT,OCS Batch Proc,PRCSC,OCS-Driven Batch Processing Commandable SAL Component,,NCSA,Margaret Gelman,Felipe Menanteau,SW,ctrl_iip,,,
TMG,Telem Gateway,PRCSC,Telemetry Gateway SAL Component,,NCSA,Margaret Gelman,Felipe Menanteau,SW,ctrl_iip,,,
HEADER,Header Generator,PRCSC,Header Generator Commandable SAL Component,,NCSA,Margaret Gelman,Felipe Menanteau,SW,,,,
POINTP,Pointing Publisher,PRCSC,Pointing Prediction Publishing SAL Component,,NCSA,Margaret Gelman,Felipe Menanteau,SW,,,,
PROFFL,Prompt Offline Proc,PR,Prompt Offline Processing System,,NCSA,Margaret Gelman,Michelle Butler,SW,, ,,
PRSCI,Prompt Sci Payloads,PR,Prompt science payloads,Multiple,Multiple,John Swinbank,Eric Bellm,SW,,,,
APPRMPT,Prompt Alert Prod,PRSCI,Prompt Processing Alert Production payload,Multiple,Multiple,John Swinbank,Eric Bellm,SW,,,,
SFPPIPE,Single Frame Pipe,APPRMPT,Single frame processing pipeline,1.02C.03.01,AP,John Swinbank,Eric Bellm,SW,ap_pipe,,,
ALERTPIPE,Alert Gen Pipe,APPRMPT,Alert generation pipeline,1.02C.03.03,AP,John Swinbank,Eric Bellm,SW,ap_pipe/ap_association,,,
CALPRMPT,Prompt Calibration,PRSCI,Prompt Processing raw calibration validation payload,1.02C.04.02,DRP,John Swinbank,Jim Bosch,SW,pipe_drivers,,,
CBPCTRL,CBP Control,PRSCI,OCS control scripts for collimated beam projector control,1.02C.04.02,DRP,John Swinbank,Jim Bosch,SW,,,,
APOFFL,Offline Alert Prod,PRSCI,Offline Alert Production payload,Multiple,Multiple,John Swinbank,Eric Bellm,SW,,,,
SFPOFFL,Offline SFP,APOFFL,Offline single frame processing pipeline,1.02C.03.01,AP,John Swinbank,Eric Bellm,SW,,,,
ALRTOFFL,Offline Alert Gen,APOFFL,Offline alert generation pipeline,1.02C.03.03,AP,John Swinbank,Eric Bellm,SW,,,,
AUXTEL,Aux Tel Spec Pipe,PRSCI,Offline Auxiliary Telescope spectrograph pipeline,1.02C.04.02,DRP,John Swinbank,Jim Bosch,SW,,,,
PRECOV,Precovery,APOFFL,Precovery and forced photometry pipeline,1.02C.03.04,AP,John Swinbank,Eric Bellm,SW,,,,
MOPS,Moving Object,APOFFL,Moving object pipeline,1.02C.03.06,AP,John Swinbank,Eric Bellm,SW,mops_daymops,,,
CALOFFL,Offline Calibration,PRSCI,Offline calibration single frame processing pipeline,1.02C.04.02,DRP,John Swinbank,Jim Bosch,SW,pipe_drivers,,,
CALDAILY,Daily Calibration,PRSCI,OCS-Controlled batch daily calibration update payload,1.02C.04.02,DRP,John Swinbank,Jim Bosch,SW,,,,
PRQC,Prompt Quality Ctrl,PRSCI,Prompt QC measurement generators,1.02C.03,AP,John Swinbank,Eric Bellm,SW,,,,
ALRTDSTR,Alert Distribution,PR,Alert distribution system,1.02C.03.03,AP,John Swinbank,Eric Bellm,SW,,,,
ALRTFLTR,Alert Filtering,PR,Alert filtering system,1.02C.03.03,AP,John Swinbank,Eric Bellm,SW,,,,
IDM,Identity Manager,DMSYS,Identity (Authentication and Authorization) Manager,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
DAC,Data Access Center,DMSYS,DAC Software,Multiple,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
DACPROP,Proposal Manager,DAC,Proposal Manager,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
DACRM,Resource Manager,DAC,DAC Resource Manager,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
BULKD,Bulk Distrib,DAC,Bulk Data Distribution System,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
INFRA,Infrastructure,DMSYS,Infrastructure Software Systems,Multiple,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
BPS,Batch Proc,INFRA,Batch Processing System,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
DBB,Data Backbone,INFRA,Data Backbone System,Multiple,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
DTR,Transport/Repl,DBB,File and database transport and replication with caching endpoints,,NCSA,Margaret Gelman,Michelle Butler,SW,,,,
SCIIMGAR,Science Img Archive,DBB,Science image archive,Multiple,DAX,Fritz Mueller,,SW,,,,
SCICATAR,Science Cat Archive,DBB,Science catalog archive,Multiple,Multiple,Fritz Mueller,,SW,,,,
